Beach Name,Date,Measurement Timestamp,DNA Reading Mean,Ecoli Predicted Level,Latitude_ecoli,Longitude_ecoli,Location_ecoli,Nearest Weather Station,Air Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
12th Street,2017-08-19,08/19/2017 12:00:00 AM,9.2,161.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,23.9,66,0.0,0.0,434.2,0.0,312,1.1,3.0,989.9,0
57th Street,2017-08-19,08/19/2017 12:00:00 AM,196.7,222.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,23.9,66,0.0,0.0,434.2,0.0,312,1.1,3.0,989.9,0
Margaret T Burroughs (31st),2017-08-19,08/19/2017 12:00:00 AM,138.1,216.8,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,23.9,66,0.0,0.0,434.2,0.0,312,1.1,3.0,989.9,0
Oakwood,2017-08-19,08/19/2017 12:00:00 AM,672.2,146.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,23.9,66,0.0,0.0,434.2,0.0,312,1.1,3.0,989.9,0
12th Street,2017-08-20,08/20/2017 12:00:00 AM,72.4,95.8,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.6,59,0.0,0.0,434.2,0.0,228,0.9,1.5,993.8,0
57th Street,2017-08-20,08/20/2017 12:00:00 AM,43.0,26.9,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.6,59,0.0,0.0,434.2,0.0,228,0.9,1.5,993.8,0
Margaret T Burroughs (31st),2017-08-20,08/20/2017 12:00:00 AM,34.0,68.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,22.6,59,0.0,0.0,434.2,0.0,228,0.9,1.5,993.8,0
Oakwood,2017-08-20,08/20/2017 12:00:00 AM,45.7,41.4,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,22.6,59,0.0,0.0,434.2,0.0,228,0.9,1.5,993.8,0
12th Street,2017-08-22,08/22/2017 12:00:00 AM,16.6,156.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.1,98,6.0,19.1,457.1,60.0,234,3.6,5.9,991.3,0
57th Street,2017-08-22,08/22/2017 12:00:00 AM,125.0,70.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.1,98,6.0,19.1,457.1,60.0,234,3.6,5.9,991.3,0
Margaret T Burroughs (31st),2017-08-22,08/22/2017 12:00:00 AM,21.2,149.7,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.1,98,6.0,19.1,457.1,60.0,234,3.6,5.9,991.3,0
Oakwood,2017-08-22,08/22/2017 12:00:00 AM,124.3,97.3,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.1,98,6.0,19.1,457.1,60.0,234,3.6,5.9,991.3,0
12th Street,2017-08-23,08/23/2017 12:00:00 AM,5.0,211.8,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.7,53,0.0,0.0,464.0,0.0,325,1.5,3.1,994.0,0
57th Street,2017-08-23,08/23/2017 12:00:00 AM,399.5,132.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.7,53,0.0,0.0,464.0,0.0,325,1.5,3.1,994.0,0
Margaret T Burroughs (31st),2017-08-23,08/23/2017 12:00:00 AM,644.7,229.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.7,53,0.0,0.0,464.0,0.0,325,1.5,3.1,994.0,0
Oakwood,2017-08-23,08/23/2017 12:00:00 AM,257.6,112.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.7,53,0.0,0.0,464.0,0.0,325,1.5,3.1,994.0,0
12th Street,2017-08-24,08/24/2017 12:00:00 AM,3.0,84.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,18.6,77,0.0,0.0,464.0,0.0,240,1.4,1.9,994.9,1
57th Street,2017-08-24,08/24/2017 12:00:00 AM,55.7,53.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,18.6,77,0.0,0.0,464.0,0.0,240,1.4,1.9,994.9,1
Margaret T Burroughs (31st),2017-08-24,08/24/2017 12:00:00 AM,125.8,76.3,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,18.6,77,0.0,0.0,464.0,0.0,240,1.4,1.9,994.9,1
Oakwood,2017-08-24,08/24/2017 12:00:00 AM,89.0,32.0,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,18.6,77,0.0,0.0,464.0,0.0,240,1.4,1.9,994.9,1
12th Street,2017-08-25,08/25/2017 12:00:00 AM,83.7,73.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,18.3,62,0.0,0.0,465.9,0.0,67,2.1,8.5,999.2,1
57th Street,2017-08-25,08/25/2017 12:00:00 AM,127.5,43.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,18.3,62,0.0,0.0,465.9,0.0,67,2.1,8.5,999.2,1
Margaret T Burroughs (31st),2017-08-25,08/25/2017 12:00:00 AM,121.7,77.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,18.3,62,0.0,0.0,465.9,0.0,67,2.1,8.5,999.2,1
Oakwood,2017-08-25,08/25/2017 12:00:00 AM,84.4,49.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,18.3,62,0.0,0.0,465.9,0.0,67,2.1,8.5,999.2,1
12th Street,2017-08-26,08/26/2017 12:00:00 AM,379.8,62.4,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.5,63,0.0,0.0,465.9,0.0,126,1.3,2.6,1002.3,1
57th Street,2017-08-26,08/26/2017 12:00:00 AM,178.9,44.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.5,63,0.0,0.0,465.9,0.0,126,1.3,2.6,1002.3,1
Margaret T Burroughs (31st),2017-08-26,08/26/2017 12:00:00 AM,92.6,88.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.5,63,0.0,0.0,465.9,0.0,126,1.3,2.6,1002.3,1
Oakwood,2017-08-26,08/26/2017 12:00:00 AM,51.2,48.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.5,63,0.0,0.0,465.9,0.0,126,1.3,2.6,1002.3,1
12th Street,2017-08-27,08/27/2017 12:00:00 AM,117.3,99.6,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.0,55,0.0,0.0,466.9,0.0,175,1.9,2.7,1000.0,0
57th Street,2017-08-27,08/27/2017 12:00:00 AM,137.9,63.4,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.0,55,0.0,0.0,466.9,0.0,175,1.9,2.7,1000.0,0
Margaret T Burroughs (31st),2017-08-27,08/27/2017 12:00:00 AM,167.9,110.3,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.0,55,0.0,0.0,466.9,0.0,175,1.9,2.7,1000.0,0
Oakwood,2017-08-27,08/27/2017 12:00:00 AM,23.4,76.1,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.0,55,0.0,0.0,466.9,0.0,175,1.9,2.7,1000.0,0
12th Street,2017-08-28,08/28/2017 12:00:00 AM,211.6,43.9,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.8,77,0.0,0.0,466.9,0.0,9,0.6,0.9,995.0,1
57th Street,2017-08-28,08/28/2017 12:00:00 AM,416.2,38.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.8,77,0.0,0.0,466.9,0.0,9,0.6,0.9,995.0,1
Margaret T Burroughs (31st),2017-08-28,08/28/2017 12:00:00 AM,2204.4,48.7,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.8,77,0.0,0.0,466.9,0.0,9,0.6,0.9,995.0,1
Oakwood,2017-08-28,08/28/2017 12:00:00 AM,11.8,33.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.8,77,0.0,0.0,466.9,0.0,9,0.6,0.9,995.0,1
12th Street,2017-08-29,08/29/2017 12:00:00 AM,8.9,83.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.0,80,0.0,0.0,481.2,0.0,0,0.0,0.0,994.4,1
57th Street,2017-08-29,08/29/2017 12:00:00 AM,180.1,45.7,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.0,80,0.0,0.0,481.2,0.0,0,0.0,0.0,994.4,1
Margaret T Burroughs (31st),2017-08-29,08/29/2017 12:00:00 AM,349.2,150.0,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.0,80,0.0,0.0,481.2,0.0,0,0.0,0.0,994.4,1
Oakwood,2017-08-29,08/29/2017 12:00:00 AM,20.4,47.4,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.0,80,0.0,0.0,481.2,0.0,0,0.0,0.0,994.4,1
12th Street,2017-08-30,08/30/2017 12:00:00 AM,4.0,217.4,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.0,76,0.0,0.0,481.2,0.0,27,2.1,3.3,995.2,0
57th Street,2017-08-30,08/30/2017 12:00:00 AM,47.5,147.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.0,76,0.0,0.0,481.2,0.0,27,2.1,3.3,995.2,0
Margaret T Burroughs (31st),2017-08-30,08/30/2017 12:00:00 AM,330.0,262.8,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.0,76,0.0,0.0,481.2,0.0,27,2.1,3.3,995.2,0
Oakwood,2017-08-30,08/30/2017 12:00:00 AM,220.9,162.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.0,76,0.0,0.0,481.2,0.0,27,2.1,3.3,995.2,0
12th Street,2017-08-31,08/31/2017 12:00:00 AM,83.9,327.9,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.0,82,0.0,0.0,481.2,0.0,10,7.2,12.0,995.6,0
57th Street,2017-08-31,08/31/2017 12:00:00 AM,643.8,192.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.0,82,0.0,0.0,481.2,0.0,10,7.2,12.0,995.6,0
Margaret T Burroughs (31st),2017-08-31,08/31/2017 12:00:00 AM,2693.2,674.9,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,22.0,82,0.0,0.0,481.2,0.0,10,7.2,12.0,995.6,0
12th Street,2017-09-02,09/02/2017 12:00:00 AM,40.0,125.4,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,19.2,50,0.0,0.0,481.2,0.0,112,4.5,6.5,997.1,1
57th Street,2017-09-02,09/02/2017 12:00:00 AM,317.6,94.8,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,19.2,50,0.0,0.0,481.2,0.0,112,4.5,6.5,997.1,1
Margaret T Burroughs (31st),2017-09-02,09/02/2017 12:00:00 AM,261.9,134.4,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,19.2,50,0.0,0.0,481.2,0.0,112,4.5,6.5,997.1,1
Oakwood,2017-09-02,09/02/2017 12:00:00 AM,892.2,114.8,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,19.2,50,0.0,0.0,481.2,0.0,112,4.5,6.5,997.1,1
12th Street,2017-09-03,09/03/2017 12:00:00 AM,70.0,81.6,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,16.3,90,0.0,0.0,492.6,0.0,228,1.3,2.1,992.0,2
57th Street,2017-09-03,09/03/2017 12:00:00 AM,214.5,42.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,16.3,90,0.0,0.0,492.6,0.0,228,1.3,2.1,992.0,2
Margaret T Burroughs (31st),2017-09-03,09/03/2017 12:00:00 AM,73.5,78.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,16.3,90,0.0,0.0,492.6,0.0,228,1.3,2.1,992.0,2
Oakwood,2017-09-03,09/03/2017 12:00:00 AM,77.7,37.3,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,16.3,90,0.0,0.0,492.6,0.0,228,1.3,2.1,992.0,2
12th Street,2017-09-04,09/04/2017 12:00:00 AM,70.7,117.0,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.8,61,0.0,0.0,492.6,0.0,232,2.8,4.7,991.4,0
57th Street,2017-09-04,09/04/2017 12:00:00 AM,301.7,75.7,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.8,61,0.0,0.0,492.6,0.0,232,2.8,4.7,991.4,0
Margaret T Burroughs (31st),2017-09-04,09/04/2017 12:00:00 AM,26.2,149.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.8,61,0.0,0.0,492.6,0.0,232,2.8,4.7,991.4,0
Oakwood,2017-09-04,09/04/2017 12:00:00 AM,12.4,65.4,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.8,61,0.0,0.0,492.6,0.0,232,2.8,4.7,991.4,0
12th Street,2018-06-01,06/01/2018 12:00:00 AM,461.5,391.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.3,86,0.0,0.0,107.2,0.0,11,0.0,0.6,986.4,0
57th Street,2018-06-01,06/01/2018 12:00:00 AM,64.0,264.4,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.3,86,0.0,0.0,107.2,0.0,11,0.0,0.6,986.4,0
Margaret T Burroughs (31st),2018-06-01,06/01/2018 12:00:00 AM,332.8,439.1,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.3,86,0.0,0.0,107.2,0.0,11,0.0,0.6,986.4,0
Oakwood,2018-06-01,06/01/2018 12:00:00 AM,680.5,253.7,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.3,86,0.0,0.0,107.2,0.0,11,0.0,0.6,986.4,0
12th Street,2018-06-08,06/08/2018 12:00:00 AM,55.7,90.4,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,15.7,83,0.0,0.0,113.4,0.0,29,3.3,5.6,997.8,2
57th Street,2018-06-08,06/08/2018 12:00:00 AM,199.7,58.1,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,15.7,83,0.0,0.0,113.4,0.0,29,3.3,5.6,997.8,2
Margaret T Burroughs (31st),2018-06-08,06/08/2018 12:00:00 AM,356.0,94.0,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,15.7,83,0.0,0.0,113.4,0.0,29,3.3,5.6,997.8,2
Oakwood,2018-06-08,06/08/2018 12:00:00 AM,91.5,44.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,15.7,83,0.0,0.0,113.4,0.0,29,3.3,5.6,997.8,2
12th Street,2018-06-09,06/09/2018 12:00:00 AM,67.7,110.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,13.7,89,0.0,0.0,128.6,0.0,34,2.5,4.9,996.8,2
57th Street,2018-06-09,06/09/2018 12:00:00 AM,127.9,82.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,13.7,89,0.0,0.0,128.6,0.0,34,2.5,4.9,996.8,2
Margaret T Burroughs (31st),2018-06-09,06/09/2018 12:00:00 AM,94.5,140.4,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,13.7,89,0.0,0.0,128.6,0.0,34,2.5,4.9,996.8,2
Oakwood,2018-06-09,06/09/2018 12:00:00 AM,115.4,107.1,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,13.7,89,0.0,0.0,128.6,0.0,34,2.5,4.9,996.8,2
12th Street,2018-06-10,06/10/2018 12:00:00 AM,94601.5,380.8,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,14.5,100,0.0,0.0,136.8,0.0,58,1.5,3.4,991.6,2
57th Street,2018-06-10,06/10/2018 12:00:00 AM,142.3,252.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,14.5,100,0.0,0.0,136.8,0.0,58,1.5,3.4,991.6,2
Margaret T Burroughs (31st),2018-06-10,06/10/2018 12:00:00 AM,78808.6,436.3,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,14.5,100,0.0,0.0,136.8,0.0,58,1.5,3.4,991.6,2
Oakwood,2018-06-10,06/10/2018 12:00:00 AM,12.6,232.7,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,14.5,100,0.0,0.0,136.8,0.0,58,1.5,3.4,991.6,2
12th Street,2018-06-11,06/11/2018 12:00:00 AM,36.5,252.5,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,16.0,100,0.0,0.0,172.7,0.0,74,6.1,7.4,989.3,2
57th Street,2018-06-11,06/11/2018 12:00:00 AM,72.0,136.8,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,16.0,100,0.0,0.0,172.7,0.0,74,6.1,7.4,989.3,2
Margaret T Burroughs (31st),2018-06-11,06/11/2018 12:00:00 AM,332.1,500.9,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,16.0,100,0.0,0.0,172.7,0.0,74,6.1,7.4,989.3,2
Oakwood,2018-06-11,06/11/2018 12:00:00 AM,513.8,107.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,16.0,100,0.0,0.0,172.7,0.0,74,6.1,7.4,989.3,2
12th Street,2018-06-13,06/13/2018 12:00:00 AM,31.2,369.8,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,18.2,98,0.0,0.0,174.7,0.0,0,0.0,0.4,989.6,1
57th Street,2018-06-13,06/13/2018 12:00:00 AM,1625.6,250.7,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,18.2,98,0.0,0.0,174.7,0.0,0,0.0,0.4,989.6,1
Margaret T Burroughs (31st),2018-06-13,06/13/2018 12:00:00 AM,199.8,475.8,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,18.2,98,0.0,0.0,174.7,0.0,0,0.0,0.4,989.6,1
Oakwood,2018-06-13,06/13/2018 12:00:00 AM,434.0,209.5,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,18.2,98,0.0,0.0,174.7,0.0,0,0.0,0.4,989.6,1
12th Street,2018-06-15,06/15/2018 12:00:00 AM,980.8,326.1,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,18.5,84,0.0,0.0,174.7,0.0,32,0.9,1.1,994.8,1
57th Street,2018-06-15,06/15/2018 12:00:00 AM,327.4,171.1,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,18.5,84,0.0,0.0,174.7,0.0,32,0.9,1.1,994.8,1
Margaret T Burroughs (31st),2018-06-15,06/15/2018 12:00:00 AM,978.9,485.4,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,18.5,84,0.0,0.0,174.7,0.0,32,0.9,1.1,994.8,1
Oakwood,2018-06-15,06/15/2018 12:00:00 AM,90.0,138.1,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,18.5,84,0.0,0.0,174.7,0.0,32,0.9,1.1,994.8,1
12th Street,2018-06-17,06/17/2018 12:00:00 AM,20.8,329.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,28.6,72,0.0,0.0,198.0,0.0,223,3.1,4.6,992.2,0
57th Street,2018-06-17,06/17/2018 12:00:00 AM,100.4,133.0,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,28.6,72,0.0,0.0,198.0,0.0,223,3.1,4.6,992.2,0
Margaret T Burroughs (31st),2018-06-17,06/17/2018 12:00:00 AM,39.2,405.7,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,28.6,72,0.0,0.0,198.0,0.0,223,3.1,4.6,992.2,0
Oakwood,2018-06-17,06/17/2018 12:00:00 AM,131.5,77.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,28.6,72,0.0,0.0,198.0,0.0,223,3.1,4.6,992.2,0
12th Street,2018-06-18,06/18/2018 12:00:00 AM,51.9,66.8,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,29.1,67,0.0,0.0,198.0,0.0,235,2.7,4.0,993.3,0
57th Street,2018-06-18,06/18/2018 12:00:00 AM,8.5,41.2,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,29.1,67,0.0,0.0,198.0,0.0,235,2.7,4.0,993.3,0
Margaret T Burroughs (31st),2018-06-18,06/18/2018 12:00:00 AM,29.5,75.5,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,29.1,67,0.0,0.0,198.0,0.0,235,2.7,4.0,993.3,0
Oakwood,2018-06-18,06/18/2018 12:00:00 AM,11.7,45.5,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,29.1,67,0.0,0.0,198.0,0.0,235,2.7,4.0,993.3,0
12th Street,2018-06-21,06/21/2018 12:00:00 AM,157.4,143.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,18.2,96,0.0,0.0,200.2,0.0,67,3.7,4.7,988.7,1
57th Street,2018-06-21,06/21/2018 12:00:00 AM,48.3,74.9,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,18.2,96,0.0,0.0,200.2,0.0,67,3.7,4.7,988.7,1
Margaret T Burroughs (31st),2018-06-21,06/21/2018 12:00:00 AM,833.5,137.7,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,18.2,96,0.0,0.0,200.2,0.0,67,3.7,4.7,988.7,1
Oakwood,2018-06-21,06/21/2018 12:00:00 AM,120.2,127.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,18.2,96,0.0,0.0,200.2,0.0,67,3.7,4.7,988.7,1
12th Street,2018-06-22,06/22/2018 12:00:00 AM,467.3,262.5,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,17.4,96,0.0,0.0,352.4,0.0,27,6.9,9.9,986.6,1
57th Street,2018-06-22,06/22/2018 12:00:00 AM,607.2,172.1,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,17.4,96,0.0,0.0,352.4,0.0,27,6.9,9.9,986.6,1
Margaret T Burroughs (31st),2018-06-22,06/22/2018 12:00:00 AM,5940.3,523.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,17.4,96,0.0,0.0,352.4,0.0,27,6.9,9.9,986.6,1
Oakwood,2018-06-22,06/22/2018 12:00:00 AM,1315.1,150.2,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,17.4,96,0.0,0.0,352.4,0.0,27,6.9,9.9,986.6,1
12th Street,2018-06-24,06/24/2018 12:00:00 AM,61.6,408.7,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.0,81,0.0,0.0,390.4,0.0,271,3.0,4.0,987.7,0
57th Street,2018-06-24,06/24/2018 12:00:00 AM,311.4,298.5,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.0,81,0.0,0.0,390.4,0.0,271,3.0,4.0,987.7,0
Margaret T Burroughs (31st),2018-06-24,06/24/2018 12:00:00 AM,116.5,642.0,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,22.0,81,0.0,0.0,390.4,0.0,271,3.0,4.0,987.7,0
Oakwood,2018-06-24,06/24/2018 12:00:00 AM,129.6,268.1,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,22.0,81,0.0,0.0,390.4,0.0,271,3.0,4.0,987.7,0
12th Street,2018-06-26,06/26/2018 12:00:00 AM,345.5,89.3,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,20.8,87,0.0,0.0,390.6,0.0,131,0.4,1.5,996.5,1
57th Street,2018-06-26,06/26/2018 12:00:00 AM,318.1,40.3,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,20.8,87,0.0,0.0,390.6,0.0,131,0.4,1.5,996.5,1
Margaret T Burroughs (31st),2018-06-26,06/26/2018 12:00:00 AM,46.7,86.2,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,20.8,87,0.0,0.0,390.6,0.0,131,0.4,1.5,996.5,1
Oakwood,2018-06-26,06/26/2018 12:00:00 AM,11.3,67.5,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,20.8,87,0.0,0.0,390.6,0.0,131,0.4,1.5,996.5,1
12th Street,2018-06-27,06/27/2018 12:00:00 AM,25.1,153.1,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,22.5,94,0.0,0.0,404.8,0.0,240,2.9,4.4,985.6,0
57th Street,2018-06-27,06/27/2018 12:00:00 AM,221.4,87.1,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,22.5,94,0.0,0.0,404.8,0.0,240,2.9,4.4,985.6,0
Oakwood,2018-06-27,06/27/2018 12:00:00 AM,84.7,61.6,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,22.5,94,0.0,0.0,404.8,0.0,240,2.9,4.4,985.6,0
12th Street,2018-06-28,06/28/2018 12:00:00 AM,28.1,116.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,19.7,85,0.0,0.0,409.4,0.0,202,0.6,0.7,990.6,1
57th Street,2018-06-28,06/28/2018 12:00:00 AM,33.4,100.6,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,19.7,85,0.0,0.0,409.4,0.0,202,0.6,0.7,990.6,1
Margaret T Burroughs (31st),2018-06-28,06/28/2018 12:00:00 AM,281.8,110.9,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,19.7,85,0.0,0.0,409.4,0.0,202,0.6,0.7,990.6,1
Oakwood,2018-06-28,06/28/2018 12:00:00 AM,71.3,79.1,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,19.7,85,0.0,0.0,409.4,0.0,202,0.6,0.7,990.6,1
12th Street,2018-06-29,06/29/2018 12:00:00 AM,697.6,254.2,41.8638,-87.6082,"(41.8638, -87.6082)",63rd Street Weather Station,21.9,94,0.0,0.0,409.4,0.0,13,2.1,2.5,991.9,0
57th Street,2018-06-29,06/29/2018 12:00:00 AM,843.8,133.8,41.7911,-87.5797,"(41.7911, -87.5797)",63rd Street Weather Station,21.9,94,0.0,0.0,409.4,0.0,13,2.1,2.5,991.9,0
Margaret T Burroughs (31st),2018-06-29,06/29/2018 12:00:00 AM,849.1,652.0,41.8393,-87.6072,"(41.8393, -87.6072)",63rd Street Weather Station,21.9,94,0.0,0.0,409.4,0.0,13,2.1,2.5,991.9,0
Oakwood,2018-06-29,06/29/2018 12:00:00 AM,46.6,95.9,41.8211,-87.5976,"(41.8211, -87.5976)",63rd Street Weather Station,21.9,94,0.0,0.0,409.4,0.0,13,2.1,2.5,991.9,0
